algorithm	localsearch	alpha	beta	rho	ants	q0	rasrank	elitistants	nnls	dlb
"acs"	"3"	4.44	4.48	0.21	59	0.11	NA	NA	13	"1"
"acs"	"3"	2.98	4.99	0.78	70	0.85	NA	NA	15	"1"
"acs"	"3"	2.67	1.18	0.76	59	0.44	NA	NA	12	"1"
"acs"	"3"	2.53	1.95	0.69	60	0.64	NA	NA	12	"1"
"acs"	"3"	3.45	4.43	0.77	66	0.26	NA	NA	15	"1"
"acs"	"3"	2.21	8.75	0.55	49	0.52	NA	NA	15	"1"
"acs"	"3"	3.16	6.8	0.98	67	0.25	NA	NA	12	"1"
"acs"	"3"	3.66	3.88	0.96	76	0.73	NA	NA	11	"1"
"acs"	"3"	2.91	7.87	0.42	50	0.17	NA	NA	13	"1"
"acs"	"3"	2.85	3.75	0.87	62	0.3	NA	NA	13	"1"
"acs"	"3"	4.52	3.61	0.38	64	0.55	NA	NA	13	"1"
"acs"	"3"	2.55	5.07	0.35	49	0.53	NA	NA	20	"1"
"acs"	"3"	3.76	2.86	0.42	63	0.37	NA	NA	15	"1"
"acs"	"3"	3.22	5.19	0.67	64	0.13	NA	NA	12	"1"
"acs"	"3"	2.77	5.54	0.38	54	0.36	NA	NA	13	"1"
"acs"	"3"	2.62	5.86	0.3	52	0.24	NA	NA	11	"1"
"acs"	"3"	2.55	5.03	0.6	55	0.42	NA	NA	9	"1"
"acs"	"3"	3.38	3.19	0.28	57	0.62	NA	NA	14	"1"
"acs"	"3"	3.3	1.29	0.2	54	0.84	NA	NA	11	"1"
"acs"	"3"	3.58	6.61	0.45	61	0.4	NA	NA	9	"1"
"acs"	"3"	1.84	3.87	0.96	52	0.21	NA	NA	13	"1"
"acs"	"3"	3.02	1.13	0.31	53	0.71	NA	NA	15	"1"
"acs"	"3"	2.44	2.66	0.21	41	0.14	NA	NA	15	"1"
"acs"	"3"	2.34	8.52	0.65	48	0.5	NA	NA	17	"1"
"acs"	"3"	4.24	3.94	0.17	58	0.46	NA	NA	13	"1"
"acs"	"3"	1.68	7.63	0.63	32	0.18	NA	NA	12	"1"
"acs"	"3"	2.81	3.51	0.47	57	0.48	NA	NA	11	"1"
"acs"	"3"	3.51	6.62	0.28	59	0.82	NA	NA	17	"1"
"acs"	"3"	2.13	4.53	0.3	47	0.59	NA	NA	15	"1"
"acs"	"3"	4.69	6.47	0.16	55	0.17	NA	NA	11	"1"
"acs"	"3"	3.88	4.78	0.16	51	0.36	NA	NA	10	"1"
"acs"	"3"	4.81	9.25	0.57	63	0.05	NA	NA	18	"1"
"acs"	"3"	3.09	6.46	0.91	64	0.6	NA	NA	15	"1"
"acs"	"3"	2.5	3.54	0.34	53	0.4	NA	NA	14	"1"
"acs"	"3"	2.78	5.02	0.39	53	0.33	NA	NA	25	"1"
"acs"	"3"	3.73	8.78	0.94	68	0.85	NA	NA	13	"1"
"acs"	"3"	3.08	6.83	0.51	58	0.49	NA	NA	18	"1"
"acs"	"3"	2.32	3.47	0.15	29	0.32	NA	NA	16	"1"
"acs"	"3"	3.31	4.51	0.46	62	0.84	NA	NA	13	"1"
"acs"	"3"	3.6	6.73	0.17	51	0.56	NA	NA	11	"1"
"acs"	"3"	2.55	3.19	0.11	45	0.72	NA	NA	15	"1"
"acs"	"3"	4.36	2.37	0.24	59	0.51	NA	NA	14	"1"
"acs"	"3"	3.89	4.44	0.49	66	0.52	NA	NA	12	"1"
"acs"	"3"	4.46	6.04	0.88	73	0.13	NA	NA	9	"1"
"acs"	"3"	2.32	1.85	0.92	54	0.11	NA	NA	12	"1"
"acs"	"3"	3.85	5.8	0.45	64	0.16	NA	NA	16	"1"
"acs"	"3"	1.69	3.97	0.8	50	0.7	NA	NA	18	"1"
"acs"	"3"	1.28	1.15	0.76	28	0.72	NA	NA	15	"1"
"acs"	"3"	1.83	6.4	0.35	32	0.22	NA	NA	19	"1"
"mmas"	"3"	1.23	8.26	0.81	67	NA	NA	NA	14	"1"
"acs"	"3"	2.06	1.53	0.4	50	0.63	NA	NA	12	"1"
"acs"	"3"	1.71	3.54	0.91	56	0.55	NA	NA	10	"1"
"acs"	"3"	3.11	3.22	0.7	76	0.93	NA	NA	12	"1"
"acs"	"3"	1.54	3.15	0.56	54	0.78	NA	NA	15	"1"
"acs"	"3"	2.19	7.87	0.69	41	0.03	NA	NA	15	"1"
"acs"	"3"	3.55	8.92	0.46	56	0.19	NA	NA	16	"1"
"acs"	"3"	3.98	5.51	0.23	53	0.25	NA	NA	12	"1"
"acs"	"3"	2.9	4.91	0.3	58	0.46	NA	NA	11	"1"
"acs"	"3"	2.67	2.72	0.93	66	0.57	NA	NA	12	"1"
"acs"	"3"	4.4	4.12	0.47	73	0.65	NA	NA	10	"1"
"acs"	"3"	4.04	3.59	0.18	59	0.5	NA	NA	19	"1"
